"","x"
"466","ADPGK"
"467","ADPRH"
"468","ADPRHL1"
"469","ADPRM"
"470","ADPRS"
"471","ADRA1A"
"472","ADRA1B"
"473","ADRA1D"
"474","ADRA2A"
"475","ADRA2B"
"476","ADRA2C"
"477","ADRB1"
"478","ADRB2"
"479","ADRB3"
"480","ADRM1"
"481","ADSL"
"482","ADSS1"
"483","ADSS2"
"484","ADTRP"
"485","AEBP1"
"486","AEBP2"
"487","AEN"
"488","AF196969.1"
"489","AFAP1"
"490","AFAP1L1"
"491","AFAP1L2"
"492","AFDN"
"493","AFF1"
"494","AFF2"
"495","AFF3"
"496","AFF4"
"497","AFG1L"
"498","AFG3L2"
"499","AFM"
"500","AFMID"
"501","AFP"
"502","AFTPH"
"503","AGA"
"504","AGAP1"
"505","AGAP14P"
"506","AGAP2"
"507","AGAP3"
"508","AGAP4"
"509","AGAP5"
"510","AGAP6"
"511","AGAP7P"
"512","AGBL1"
"513","AGBL2"
"514","AGBL3"
"515","AGBL4"
"516","AGBL5"
"517","AGER"
"518","AGFG1"
"519","AGFG2"
"520","AGGF1"
"521","AGK"
"522","AGL"
"523","AGMAT"
"524","AGMO"
"525","AGO1"
"526","AGO2"
"527","AGO3"
"528","AGO4"
"529","AGPAT1"
"530","AGPAT2"
"531","AGPAT3"
"532","AGPAT4"
"533","AGPAT5"
"534","AGPS"
"535","AGR2"
"536","AGR3"
"537","AGRN"
"538","AGRP"
"539","AGT"
"540","AGTPBP1"
"541","AGTR1"
"542","AGTR2"
"543","AGTRAP"
"544","AGXT"
"545","AGXT2"
"546","AHCTF1"
"547","AHCY"
"548","AHCYL1"
"549","AHCYL2"
"550","AHDC1"
"551","AHI1"
"552","AHNAK"
"553","AHNAK2"
"554","AHR"
"555","AHRR"
"556","AHSA1"
"557","AHSG"
"558","AHSP"
"559","AICDA"
"560","AIDA"
"561","AIF1"
"562","AIF1L"
"563","AIFM1"
"564","AIFM2"
"565","AIFM3"
"566","AIG1"
"567","AIM2"
"568","AIMP1"
"569","AIMP2"
"570","AIP"
"571","AIPL1"
"572","AIRE"
"573","AJAP1"
"574","AJM1"
"575","AJUBA"
"576","AK1"
"577","AK2"
"578","AK3"
"579","AK4"
"580","AK5"
"581","AK6"
"582","AK7"
"583","AK8"
"584","AK9"
"585","AKAP1"
"586","AKAP10"
"587","AKAP11"
"588","AKAP12"
"589","AKAP13"
"590","AKAP14"
"591","AKAP17A"
"592","AKAP3"
"593","AKAP4"
"594","AKAP5"
"595","AKAP6"
"596","AKAP7"
"597","AKAP8"
"598","AKAP8L"
"599","AKAP9"
"600","AKIP1"
"601","AKIRIN1"
"602","AKIRIN2"
"603","AKNA"
"604","AKNAD1"
"605","AKR1A1"
"606","AKR1B1"
"607","AKR1B10"
"608","AKR1B15"
"609","AKR1C1"
"610","AKR1C2"
"611","AKR1C3"
"612","AKR1C4"
"613","AKR1C8P"
"614","AKR1D1"
"615","AKR1E2"
"616","AKR7A2"
"617","AKR7A3"
"618","AKR7L"
"619","AKT1"
"620","AKT1S1"
"621","AKT2"
"622","AKT3"
"623","AKTIP"
"624","AL021546.1"
"625","AL031315.1"
"626","AL031681.2"
"627","AL031777.2"
"628","AL035460.1"
"629","AL035461.3"
"630","AL049569.3"
"631","AL117348.2"
"632","AL121758.1"
"633","AL121845.3"
"634","AL121899.2"
"635","AL133373.3"
"636","AL133467.6"
"637","AL133500.1"
"638","AL135905.2"
"639","AL136295.1"
"640","AL136982.4"
"641","AL138831.3"
"642","AL139300.1"
"643","AL159163.1"
"644","AL162417.1"
"645","AL163195.3"
"646","AL163540.1"
"647","AL163636.1"
"648","AL353804.4"
"649","AL353804.6"
"650","AL358113.1"
"651","AL359922.1"
"652","AL391650.1"
"653","AL441992.2"
"654","AL445524.2"
"655","AL512625.1"
"656","AL590867.2"
"657","AL592490.1"
"658","AL645922.1"
"659","AL645941.2"
"660","AL662899.2"
"661","AL669918.1"
"662","AL713999.2"
"663","ALAD"
"664","ALAS1"
"665","ALAS2"
"666","ALB"
"667","ALCAM"
"668","ALDH16A1"
"669","ALDH18A1"
"670","ALDH1A1"
"671","ALDH1A2"
"672","ALDH1A3"
"673","ALDH1B1"
"674","ALDH1L1"
"675","ALDH1L2"
"676","ALDH2"
"677","ALDH3A1"
"678","ALDH3A2"
"679","ALDH3B1"
"680","ALDH3B2"
"681","ALDH4A1"
"682","ALDH5A1"
"683","ALDH6A1"
"684","ALDH7A1"
"685","ALDH8A1"
"686","ALDH9A1"
"687","ALDOA"
"688","ALDOB"
"689","ALDOC"
"690","ALG1"
"691","ALG10"
"692","ALG10B"
"693","ALG11"
"694","ALG12"
"695","ALG13"
"696","ALG14"
"697","ALG1L"
"698","ALG1L2"
"699","ALG2"
"700","ALG3"
"701","ALG5"
"702","ALG6"
"703","ALG8"
"704","ALG9"
"705","ALK"
"706","ALKAL1"
"707","ALKAL2"
"708","ALKBH1"
"709","ALKBH2"
"710","ALKBH3"
"711","ALKBH4"
"712","ALKBH5"
"713","ALKBH6"
"714","ALKBH7"
"715","ALKBH8"
"716","ALLC"
"717","ALMS1"
"718","ALOX12"
"719","ALOX12B"
"720","ALOX15"
"721","ALOX15B"
"722","ALOX5"
"723","ALOX5AP"
"724","ALOXE3"
"725","ALPG"
"726","ALPI"
"727","ALPK1"
"728","ALPK2"
"729","ALPK3"
"730","ALPL"
"731","ALPP"
"732","ALS2"
"733","ALS2CL"
"734","ALX1"
"735","ALX3"
"736","ALX4"
"737","ALYREF"
"738","AMACR"
"739","AMBN"
"740","AMBP"
"741","AMBRA1"
"742","AMD1"
"743","AMDHD1"
"744","AMDHD2"
"745","AMELX"
"746","AMELY"
"747","AMER1"
"748","AMER2"
"749","AMER3"
"750","AMFR"
"751","AMH"
"752","AMHR2"
"753","AMIGO1"
"754","AMIGO2"
"755","AMIGO3"
"756","AMMECR1"
"757","AMMECR1L"
"758","AMN"
"759","AMN1"
"760","AMOT"
"761","AMOTL1"
"762","AMOTL2"
"763","AMPD1"
"764","AMPD2"
"765","AMPD3"
"766","AMPH"
"767","AMT"
"768","AMTN"
"769","AMY1A"
"770","AMY1B"
"771","AMY1C"
"772","AMY2A"
"773","AMY2B"
"774","AMZ1"
"775","AMZ2"
"776","ANAPC1"
"777","ANAPC10"
"778","ANAPC11"
"779","ANAPC13"
"780","ANAPC15"
"781","ANAPC16"
"782","ANAPC2"
"783","ANAPC4"
"784","ANAPC5"
"785","ANAPC7"
"786","ANG"
"787","ANGEL1"
"788","ANGEL2"
"789","ANGPT1"
"790","ANGPT2"
"791","ANGPT4"
"792","ANGPTL1"
"793","ANGPTL2"
"794","ANGPTL3"
"795","ANGPTL4"
"796","ANGPTL5"
"797","ANGPTL6"
"798","ANGPTL7"
"799","ANGPTL8"
"800","ANK1"
"801","ANK2"
"802","ANK3"
"803","ANKAR"
"804","ANKDD1A"
"805","ANKEF1"
"806","ANKFN1"
"807","ANKFY1"
"808","ANKH"
"809","ANKHD1"
"810","ANKHD1-EIF4EBP3"
"811","ANKIB1"
"812","ANKK1"
"813","ANKLE1"
"814","ANKLE2"
"815","ANKMY1"
"816","ANKMY2"
"817","ANKRA2"
"818","ANKRD1"
"819","ANKRD10"
"820","ANKRD11"
"821","ANKRD12"
"822","ANKRD13A"
"823","ANKRD13B"
"824","ANKRD13C"
"825","ANKRD16"
"826","ANKRD17"
"827","ANKRD18A"
"828","ANKRD18B"
"829","ANKRD2"
"830","ANKRD20A1"
"831","ANKRD20A2P"
"832","ANKRD20A4P"
"833","ANKRD20A5P"
"834","ANKRD22"
"835","ANKRD23"
"836","ANKRD24"
"837","ANKRD26"
"838","ANKRD27"
"839","ANKRD28"
"840","ANKRD29"
"841","ANKRD30A"
"842","ANKRD30B"
"843","ANKRD30BL"
"844","ANKRD33"
"845","ANKRD34A"
"846","ANKRD34B"
"847","ANKRD34C"
"848","ANKRD35"
"849","ANKRD36"
"850","ANKRD36B"
"851","ANKRD37"
"852","ANKRD39"
"853","ANKRD40"
"854","ANKRD42"
"855","ANKRD44"
"856","ANKRD45"
"857","ANKRD46"
"858","ANKRD49"
"859","ANKRD50"
"860","ANKRD52"
"861","ANKRD53"
"862","ANKRD54"
"863","ANKRD55"
"864","ANKRD6"
"865","ANKRD60"
"866","ANKRD61"
"867","ANKRD65"
"868","ANKRD66"
"869","ANKRD7"
"870","ANKRD9"
"871","ANKS1A"
"872","ANKS1B"
"873","ANKS3"
"874","ANKS4B"
"875","ANKS6"
"876","ANKUB1"
"877","ANKZF1"
"878","ANLN"
"879","ANO1"
"880","ANO10"
"881","ANO2"
"882","ANO3"
"883","ANO4"
"884","ANO5"
"885","ANO6"
"886","ANO7"
"887","ANO8"
"888","ANO9"
"889","ANOS1"
"890","ANP32A"
"891","ANP32B"
"892","ANP32D"
"893","ANP32E"
